reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,year
2bdd79e7-c1a3-492b-b808-84403d9e1b94,Monique von Geyso,https://play-lh.googleusercontent.com/a/ACg8ocLufivaffh33Sk-c2-BOxvnnRWjtIE4BCh78KazWPqT=mo,Easy to navigate and check if the product is available at the branch closest to you,4,0,3.57.2,2024-01-11 11:02:23,Hej! Thanks for your positive comment.,2024-01-11 19:25:38,2024
1cff9da9-88ae-4192-988b-aeea56987f7b,Lizz Montague,https://play-lh.googleusercontent.com/a-/ALV-UjWNCAjyK3Qtd8HYiyxhZrUZKehxg33pkx4AyWWo5Zs4dhLt,I love the ease of adding things to different favourite groups I have.,5,0,3.57.1,2024-01-10 23:49:43,Hej! Thank you so much.,2024-01-11 08:25:19,2024
4cad4551-5f15-4ac8-b7fa-706e91555354,Gary K,https://play-lh.googleusercontent.com/a-/ALV-UjUWTV5RoxtzvXTxyz1VFPm-IpF-Z0Ym97PNIclcJiOwGMA,"App doesn't confirm clearly your selection between store collection, click and collect and delivery. Kind of a lottery. Checkout has only worked once. Hopeless nonsense.",1,0,3.57.2,2024-01-10 15:36:53,,,2024
d13e5979-d9d8-4414-a455-13306078230b,Amanda Immeker,https://play-lh.googleusercontent.com/a-/ALV-UjWOfSZ6jF39vW-jur8aj5QntVVbOJPhexgkeTxcRa-uNkt_,The app is kinda hard to navigate but it is nice to be able to look up availability and options and such while I'm shopping around. And do use the Wish list function. Wish there was a working map or something. Couldn't figure out how to get the items to scan while in the store. I do like Ikea but the app could use some work.,3,0,3.57.1,2024-01-09 22:16:21,,,2024
30d0975b-16c2-4661-a06a-76ae1427f490,Claire Kennedy,https://play-lh.googleusercontent.com/a/ACg8ocLiDBPHzvTLuq-9A_SvXKbQvzhQ264BB9RHkhygpmi2jQ=mo,Beautiful quality,5,0,3.57.1,2024-01-09 16:56:35,Hej! Thanks for your positive review.,2024-01-10 01:25:08,2024
f3f3082c-e096-4a0d-9507-bd8eb548a6d4,Kiekena,https://play-lh.googleusercontent.com/a/ACg8ocK0SjsC-I0srqDjE9Ck6ChwR-chjYEjCAMyFVZ7HoSW=mo,Het is de IKEA app!,5,0,3.57.1,2024-01-09 01:06:46,Hej! Thank you so much.,2024-01-09 09:25:34,2024
7cd12394-42f9-482f-90b9-bf8c42d1ad91,Kait Wright,https://play-lh.googleusercontent.com/a-/ALV-UjUHXqvU3lgmcbsSfG4_LgnEjpqMy6BqQ_78kvTvv5SomTA,Smooth running easy to use,5,0,3.57.1,2024-01-08 21:49:33,Hej! Thanks for your positive review.,2024-01-09 06:25:22,2024
29cad09f-70e6-4bc9-b4b4-ac9591633db8,Jean Steel,https://play-lh.googleusercontent.com/a/ACg8ocKc3quuXxu9bBdFX8WjEbtHFps-Ez092vEBwfv5a9lT=mo,Easy to follow instructions on this site.,5,0,3.50.0,2024-01-08 19:33:09,Hej! Thanks for your comment. Happy to hear you like it.,2024-01-09 04:25:31,2024
b53fa68f-1b7a-47cd-ad8b-bed52435570c,Gareth Wright,https://play-lh.googleusercontent.com/a-/ALV-UjXed5pf5zAgftbjM0NRQ-v6Jq-SJmfDoxPWF35g981EUw,Login glitch. Select login and app opens my browser. Enter details and does not return me to the app. Basic function that should be seamless. Very poor.,1,0,3.57.1,2024-01-08 17:06:32,"We are sorry for the inconvenience this causes. We are constantly working on improving the app, and are aiming to offer a better login experience in the future. Thank you for your patience! / IKEA App Team",2024-01-12 13:38:15,2024
f96d25ea-575e-4ae2-ba04-b01d54fe5ce4,sourabh sawant,https://play-lh.googleusercontent.com/a-/ALV-UjUwuK4ARyZsK0VK6xYht6wueKZampV496SNLexUVpwrJ7g,Very costly,3,0,3.57.1,2024-01-08 15:45:51,,,2024
