reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,year
e4909c98-58e2-400f-b894-5de0a4ba8be8,Abdullah Durmus,https://play-lh.googleusercontent.com/a-/ALV-UjV4aWLvWmZRmC1TLt4fXtOQ_GGW24hZHorUKdZ9hgiYlesV,Alles gut,4,0,3.53.1,2024-01-15 10:05:20,"Hej! Vielen Dank für deine Rezension. Wir sind froh, dass dir die App gefällt.",2024-01-15 18:25:33,2024
d6ee0340-5941-4dc8-81e1-bbc45973579d,Mario Dunst,https://play-lh.googleusercontent.com/a/ACg8ocIUruxpsLG70oAeLnAgose7xDTMF5X09sJSUfl1d2Uo=mo,Die App ist super zum schauen. Man kann das im Warenkorb zum Einkaufen im Geschäft auch nutzen.,5,0,3.57.2,2024-01-14 12:27:22,Hej! Vielen Dank für deinen positiven Kommentar.,2024-01-14 21:25:19,2024
1812eb3d-ac4c-4325-ab48-3bc0fbf5f919,Hadi Shogaa,https://play-lh.googleusercontent.com/a/ACg8ocJgCD_mSlsYpx_ae-gy1yCbN9gNcUlixajYG6fZ-kNA=mo,Die shop and go Funktion ist einfach gut.,5,0,3.57.2,2024-01-14 10:27:42,"Hej! Vielen Dank, dass du das gesagt hast. Das ist gut zu hören.",2024-01-14 19:25:22,2024
0ac99f7c-f8dd-4677-abc5-ca588f696a79,Nein,https://play-lh.googleusercontent.com/a/ACg8ocLEMZjUth2xYUrrHVhbHZfAkrIpriN1K_49Oukb-GiY=mo,"Super schnelle Übersicht, vorrätig weiß man immer sofort, auch andere Optionen sind immer einsehbar, einfach Klasse, Dankeschön",5,0,3.57.2,2024-01-14 09:51:51,"Hej! Vielen Dank für deine Rezension. Wir sind froh, dass dir die App gefällt.",2024-01-14 18:25:10,2024
8789631e-09f1-48db-9316-edd0e2d422af,Hendrik,https://play-lh.googleusercontent.com/a/ACg8ocLQj45xIFHs6Tm2ppMkE837hn1JBygb3TEOnkBVywUu=mo,Als Nutzer möchte ich die Family Card auf der Startseite mit einem Klick erreichen. Das Karten-Icon gehört oben neben das Nutzer-Icon. Die Karte nicht direkt beim öffnen der App zu erreichen ist schlechte usability. Soll euer Appteam mit zwei Story Points in den nächsten Sprint schieben. Danke.,2,0,3.57.2,2024-01-13 23:59:34,,,2024
66afb84b-a43a-4d84-a804-8123d0ce14aa,Mimi Stützler,https://play-lh.googleusercontent.com/a-/ALV-UjWUlu0JxoxhwczShamm9xQnCOquRMVfjpCz-aLgm-WGOw,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼😊😎👍🏼,5,0,,2024-01-13 22:26:57,Hej! Thanks for your positive review. Glad to hear you like it.,2024-01-14 07:25:20,2024
801fff7b-f606-480a-82bd-fe64278200f6,Frank Behrendt,https://play-lh.googleusercontent.com/a/ACg8ocJCTF1EbhPaPoZOYVBQJQ6iWDG14ygwRoMH4IIK32lXUw=mo,Einloggen nicht möglich! Ich warte noch ein bisschen und dann wird gelöscht. Dann doch wieder Family Card statt App!,1,0,3.57.2,2024-01-13 19:37:20,,,2024
61459660-595e-4195-b4c9-c33bbad5edd5,Anne Popanne,https://play-lh.googleusercontent.com/a/ACg8ocKDM8xT91gtXY1KKBglY2IY1SO4-fuc5m9JTP2w4UQS=mo,"Die App ist super GEWESEN. Wie meine Vorrednerin am 09.01.24 schon schrieb, seit Kurzem leider unbrauchbar. Man wird zur Webseite weitergeleitet, dort soll man sich einloggen und dann geht's nicht weiter. Ich hoffe das wird bald behoben",2,0,3.57.2,2024-01-13 16:16:52,,,2024
e384884f-ef44-4246-b922-9b94f81c09ac,Sina Maurer,https://play-lh.googleusercontent.com/a/ACg8ocJ0KuaROfP6-Mm1KNz88V3e2F24njPMvag84z-j5T5s=mo,Super app,5,0,3.57.2,2024-01-13 14:59:40,Hej! Thanks for saying that. It’s great to hear.,2024-01-13 23:25:30,2024
6762d159-c834-49d6-ba9c-ed8058db7bc1,Yaiwi GV,https://play-lh.googleusercontent.com/a-/ALV-UjU_ID8jKzaHCZBwzvhQQcTJSufVRLqqLz0NwU9ysxz9e9g,estupenda hej,5,0,3.57.1,2024-01-13 08:26:52,Hej! Thanks for saying that. It’s great to hear.,2024-01-13 17:25:17,2024
